combination,sum_rewards,fuel_used,time_used
[3 3 1],0.0,1.3703150739609853,29
[3 3 2],1.0,1.499970004854865,58
[3 3 3],1.0,0.276323368062795,29
[3 3 4],1.0,0.8742681543717447,29
[3 3 5],1.0,1.0925789242013721,58
[3 4 0],1.0,1.3671310765832736,58
[3 4 1],1.0,1.414727541534774,58
[3 4 2],1.0,1.2521043397297262,58
[3 4 3],0.0,0.0,0
[3 4 4],1.0,0.6524529241291924,29
[3 4 5],1.0,1.326641700285414,58
[3 5 0],1.0,2.1029163240030195,58
[3 5 1],0.0,1.2725493592658663,29
[3 5 2],0.0,0.0,0
[3 5 3],2.0,0.7249054058501221,58
[3 5 4],1.0,0.7824818533315565,29
[3 5 5],0.0,0.0,0
[4 0 0],0.0,1.4052651014811515,29
[4 0 1],0.0,0.0,0
[4 0 2],0.0,1.4150602552372484,29
[4 0 3],1.0,2.0241384439059242,58
[4 0 4],1.0,1.306276294074184,58
[4 0 5],0.0,0.0,0
[4 1 0],1.0,2.086246361136318,58
[4 1 1],1.0,0.6390983059313228,29
[4 1 2],0.0,1.2616109307083945,29
[4 1 3],1.0,1.126852099189279,58
[4 1 4],1.0,0.6390983059313228,29
[4 1 5],0.0,0.0,0
[4 2 0],1.0,0.6278468537177764,29
[4 2 1],0.0,0.0,0
[4 2 2],1.0,0.8209228312071082,29
[4 2 3],0.0,0.0,0
[4 2 4],0.0,1.1507519333516447,29
[4 2 5],1.0,0.7661850440585894,29
[4 3 0],0.0,1.3703150739609853,29
[4 3 1],0.0,1.3703150739609853,29
[4 3 2],0.0,1.3703150739609853,29
[4 3 3],1.0,0.8742681543717447,29
[4 3 4],0.0,1.3703150739609853,29
[4 3 5],1.0,1.0925789242013721,58
[4 4 0],1.0,1.3671310765832736,58
[4 4 1],1.0,1.1832581528851773,58
[4 4 2],1.0,1.4369378167733764,58
[4 4 3],1.0,1.5267210785009464,58
[4 4 4],1.0,0.7756292356034458,29
[4 4 5],0.0,0.0,0
[4 5 0],0.0,1.2725493592658663,29
[4 5 1],0.0,1.2725493592658663,29
[4 5 2],1.0,0.7333062493164765,29
[4 5 3],0.0,0.0,0
[4 5 4],0.0,0.0,0
[4 5 5],1.0,0.4485820377872942,29
[5 0 0],0.0,0.0,0
